ISBN,Titulo,Autor,Editorial,FechaPublicacion,Edicion,Idioma,Paginas,Descripcion,Categorias,Ejemplares
978-7-117-83851-1,Donde viven los animales,-,Guadal,1926,Primera,Español,0,,,1
978-2-057-96291-3,Dones,"Mastretta, Ángeles",H Kliczkowski,1926,Primera,Español,0,,,1
978-5-718-84194-7,Doña Bárbara,"Gallegos, Rómulo",Planeta,1926,Primera,Español,0,,,1
978-7-053-17961-7,"Doña Clementina Queridita, la achicadora","Montes, Graciela",Colihue,1926,Primera,Español,0,,,1
978-8-628-11770-6,Doña Disparate y Bambuco : teatro,"Walsh, María Elena",Alfaguara,1926,Primera,Español,0,,,1
978-8-893-76557-2,Doña Nostalgia,"Pessoa, Cláudia",V&R,1926,Primera,Español,0,,,1
978-8-797-07926-3,Doña perfecta,"Pérez Galdos, Benito",Kapelusz,1926,Primera,Español,0,,,1
978-1-555-45456-2,Doña Perfecta : novela,"Pérez Galdós, Benito",Joyas literarias,1926,Primera,Español,0,,,1
978-9-888-00418-8,Doña Rosita la soltera o El lenguaje de las flores,"García Lorca, Federico",Página 12,1926,Primera,Español,0,,,1
978-0-301-87083-0,Dormir con el enemigo,"Price, Nancy",Emecé,1926,Primera,Español,0,,,1
978-9-697-96566-3,Dos años de vacaciones,"Verne, Julio",Atlántida,1926,Primera,Español,0,,,1
978-6-213-44313-1,Dos magias y un dinosaurio: una historia con cuatro finales y medio,"Averbach, Márgara",Alfaguara,1998,Primera,Español,0,,,1
978-4-174-45281-0,Dos Novelas regionales,"Echagüe, Pedro",Jackson,1926,Primera,Español,0,,,1
978-0-746-05849-7,Dracula,"Stoker, Bram",Libro Latino,1926,Primera,Español,0,,,1
978-8-141-37387-0,Drácula,"Stoker, Bram",Latinbooks,1926,Primera,Español,0,,,1
978-8-963-90579-2,Dragón,"Bradbury, Ray",Libros del Zorro Rojo,1926,Primera,Español,0,,,1
978-5-237-29241-1,Dubliners,"Joyce, James",Wordsworth,1926,Primera,Español,0,,,1
978-8-884-83679-3,Duendes del Sur VIII. Antología Poética del grupo literario Almafuerte de Berazategui,Antología ,Grupo Literario Almafuerte,2014,Primera,Español,0,,Lit. Argentina,1
978-9-627-89418-6,Dulces engaños,"Deveraux, Jude",Atlantida,1926,Primera,Español,0,,,1
978-1-892-56598-3,Dumbo,-,Jardín de Genios,1926,Primera,Español,0,,,1
978-2-184-31510-1,Dune. Parte I,"Herbert, Frank",Debolsillo,2020,Primera,Español,0,,Lit. EEUU,1
978-6-367-91358-0,Dungeons & Dragons. El tesoro de los tardos,,Libros Dístein,1926,Primera,Español,0,,,1
978-4-489-77126-2,Duque de Rivas : Romances,Duque de Rivas,Espasa-Calpe,1926,Primera,Español,0,,,1
978-1-715-52552-1,Ecohistorias para contar y teatralizar,"Wais de Badgen, Irene R.",Plus Ultra,1926,Primera,Español,0,,,1
978-9-195-49702-4,Ecología,-,Time Life Learning,1926,Primera,Español,0,,,1
978-3-602-60971-0,Ecología : nuestro planeta en peligro,"Cantoni, Norma",Albatros,1926,Primera,Español,0,,,1
978-2-653-95601-9,Ecología : nuestro planeta hoy,-,Billiken,1926,Primera,Español,0,,,1
978-6-865-14383-0,Ecología y medio ambiente,-,Visor,1926,Primera,Español,0,,,1
978-6-238-00235-1,Ecos,"Steel, Danielle",Sudamericana,1926,Primera,Español,0,,,1
978-1-846-47689-1,Ecos Argentinos,"Valera, Juan",Emecé,1926,Primera,Español,0,,,1
978-9-968-98809-4,Ecosistemas,"Robson, Pam",Panamericana,1926,Primera,Español,0,,,1
978-2-013-40698-7,Ecuaciones diferenciales con aplicaciones de modelado,"Zill, Dennis G.",Cengage Learning,1926,Primera,Español,0,,,1
978-3-071-27680-2,Edgar Allan Poe,"Buranelli, Vincent",Compañia General Fabril,1972,Primera,Español,0,,Biografía,1
978-7-596-99880-5,Edipo Rey y otras historias,Sófocles,Andres Bello,1926,Primera,Español,0,,,1
978-0-415-89613-9,Edipo Rey. Hamlet,"Sófocles; Shakespeare, William",Estrada,1926,Primera,Español,0,,,1
978-3-746-18496-8,Educación Común en el Estado de Buenos Aires,"Sarmiento, Domingo Faustino",Facsimilar,1926,Primera,Español,0,,Historia Argentina,1
978-6-184-22250-6,Efemérides argentinas: 11 de septiembre Domingo Faustino Sarmiento,"Pigna, Felipe",Planeta,2009,Primera,Español,0,,Historia Argentina,1
978-8-502-54196-2,Efemérides argentinas: 12 de octubre De cómo Colón no descubrió América,"Pigna, Felipe",Planeta,2009,Primera,Español,0,,Historia Argentina,1
978-4-960-36922-3,Efemérides argentinas: 17 de agosto José de San Martín,"Pigna, Felipe",Planeta,2009,Primera,Español,0,,Historia Argentina,1
978-6-559-79185-9,Efemérides argentinas: 9 de julio La independencia,"Pigna, Felipe",Planeta,2009,Primera,Español,0,,Historia Argentina,1
978-7-730-62471-3,Efemerides Sanmartinianas,"Yaben, Jacinto R.",Instituto Nacional Sanmartiniano,1978,Primera,Español,0,,Historia Argentina,1
978-3-996-95465-6,Egipto. Historia y Sociedad. 9,"Colazo, Pablo",Clarín,2008,Primera,Español,0,,Historia,1
978-0-708-01040-2,Egipto. Mitos y culturas. 10,"Colazo, Pablo",Clarín,2008,Primera,Español,0,,Historia,1
978-2-911-26645-4,Egipto. Mitos y culturas. 11,"Colazo, Pablo",Clarín,2008,Primera,Español,0,,Historia,1
978-7-554-32671-8,Egloga I : selección de sonetos,"Vega, Garcilaso de la",Colihue,1926,Primera,Español,0,,,1
978-9-591-66569-0,Églogas. Geórgicas,Virgilio,Espasa Calpe,1926,Primera,Español,0,,,1
978-4-002-48230-9,Egypt,"Tyldesley, Joyce",The five Miles Press,1926,Primera,Español,0,,,1
978-4-181-80059-8,El (h)ijo la libertad,Mainé Margarita,Norma,1926,Primera,Español,0,,,1
978-9-916-69906-5,El abogado del diablo,"West, Morris",Javier Vergara,1926,Primera,Español,0,,,1
978-1-951-48822-2,El abogado del marciano,"Birmajer, Marcelo",Norma,2002,Primera,Español,0,,,1
978-4-451-93497-8,El abuelo : con un análisis de su transposición al cine,"Pérez Galdos, Benito",Colichue,1926,Primera,Español,0,,,1
978-3-490-15341-8,El abuelo del rey,"Miró, Gabriel",Losada,1926,Primera,Español,0,,,1
978-5-149-38441-9,El adivino,"Goscinny, R. Uderzo, A.",Ed. Junior/ Grijalbo,1926,Primera,Español,0,,,1
978-9-719-21278-2,El africano,"Le Clézio, J. M. G",Adriana Hidalgo,1926,Primera,Español,0,,,1
978-2-461-37862-1,El agua : ¿qué haríamos sin ella?,"Califa, Oche & Calvi, Fernando",Longseller,1926,Primera,Español,0,,,1
978-2-223-63629-7,El aguijón del diablo,"Alcántara, Ricardo",Edelvives,2008,Primera,Español,0,,,1
978-2-776-80616-1,El águila,"Wapner, David",Libros del quirquincho,1926,Primera,Español,0,,,1
978-2-335-65808-8,El alcalde de Zalamea,"Calderón de la Barca, Pedro",Colihue,1926,Primera,Español,0,,,1
978-0-579-77381-9,El alcalde de Zalamea ; La vida es un sueño,"Calderón de la Barca, Pedro",Espasa-Calpe,1926,Primera,Español,0,,,1
978-6-621-48925-7,El alcance de la razón,"Maritain, Jacques",Emecé,1926,Primera,Español,0,,,1
978-2-707-12169-1,El Aleph,"Borges, Jorge Luis",Clarín,1926,Primera,Español,0,,,1
978-0-845-30531-7,El alma de León Bloy,"Colleye, Humbert",Dedebec,1926,Primera,Español,0,,,1
978-7-393-24580-5,El alma del guerrero,"Conrad, Joseph",Página 12,1926,Primera,Español,0,,,1
978-3-223-91474-3,El almacén de las palabras terribles,"Barceló, Elia",Edelvives,2007,Primera,Español,0,,,1
978-2-086-06690-3,El amante,"Duras, Marguerite",Tusquets,1926,Primera,Español,0,,,1
978-8-578-63567-1,El amante de Lady Chatterley,"Lawrence, David Herbert",Hyspamerica/ Orbis,1983,Primera,Español,0,,Lit. Inglesa,1
978-1-231-48209-4,El amor brujo,"Arlt, Roberto",Losada,1926,Primera,Español,0,,,1
978-2-463-17744-4,El amor en los tiempos del cólera,"García Marquez, Gabriel",RBA,1926,Primera,Español,0,,,1
978-0-303-02482-8,El amor enamorado ; El caballero de Olmedo,Lope de Vega,Espasa-Calpe,1926,Primera,Español,0,,,1
978-1-312-41949-0,"El amor, el dandysmo y la intriga : memorias de un hombre de acción : novela","Baroja, Pío",Caro Raggio,1926,Primera,Español,0,,,1
978-4-955-05905-4,El androide,"Applegate, K. A.",Animorphs,1926,Primera,Español,0,,,1
978-6-591-89125-8,El anfitrión,"Edwards, Jorge",Plaza & Janés,1926,Primera,Español,0,,,1
978-5-445-02126-1,El ángel de la guarda,"Bernárdez, Francisco Luis",Losada,1926,Primera,Español,0,,,1
978-4-002-04400-2,El anillo de los deseos,"Montes, Graciela",Gramón,1926,Primera,Español,0,,,1
978-1-939-50054-0,El anillo encantado,"Andruetto, María Teresa",Sudamericana,1996,Primera,Español,0,,,1
978-2-713-94948-7,El antiguo Egipto,"Steele, Philip",Genios,1926,Primera,Español,0,,,1
978-2-430-21370-0,El arbol de Judas,"Cronin, A. J.",Ediciones Selectas,1926,Primera,Español,0,,,1
978-3-150-80784-2,El árbol de la lluvia,"Ramos, María Cristina",Alfaguara,1999,Primera,Español,0,,,1
978-1-298-28256-9,El árbol de las siete brujas,"Schujer, Silvia",La Valijita,1926,Primera,Español,0,,,1
978-8-716-97200-2,El árbol de los flecos,"Suez, Perla",Sudamericana,1926,Primera,Español,0,,,1
978-1-349-05346-9,El árbol de miel de Pooh,"Gaines, Isabel",Altea,1926,Primera,Español,0,,,1
978-2-101-25864-1,El árbol de plata,"Cooper, Susan",Montena/ Mondadori,1926,Primera,Español,0,,,1
978-4-100-27154-6,El árbol rojo,"Tan, Shaun",Calibroscopio,1926,Primera,Español,0,,,1
978-5-480-42418-8,El arbolito serafín,"Lacau, María Hortensia",Plus Ultra,1926,Primera,Español,0,,,1
978-6-924-58943-2,El arca,"Bernárdez, Francisco Luis",Losada,1926,Primera,Español,0,,,1
978-8-151-58813-4,El arca de lecturas : antología literaria : a partir de 4º,-,La estación,1926,Primera,Español,0,,,1
978-9-014-79088-6,El arca de lecturas : antología literaria : a partir de 6º,-,La estación,1926,Primera,Español,0,,,1
978-9-693-68647-0,El arca de Noé,"Twain, Mark",Anteojito,1926,Primera,Español,0,,,1
978-6-807-70130-2,El arca de Noé. La Creación. Libro 1,-,Ovale,1926,Primera,Español,0,,,1
978-2-040-71797-1,El arcoiris de Ana,"Bacas, Ana & Morvillo, Mabel",Plus Ultra,1926,Primera,Español,0,,,1
978-4-479-55134-8,El arte de la guerra,"Tzu, Sun",Centro editor de cultura,1926,Primera,Español,0,,,1
978-3-683-76535-0,El arte de ver,"Huxley, Aldous",Pleamar,1926,Primera,Español,0,,,1
978-4-220-27857-9,El asombroso cuerpo humano,-,Billiken,1926,Primera,Español,0,,,1
978-3-181-60536-3,El astronauta del barrio : y otros oficios,"Schujer, Silvia",Alfaguara,1926,Primera,Español,0,,,1
978-0-566-79311-0,El atajo,"Carreras, Lydia",Edelvives,2020,Primera,Español,0,,,1
978-1-889-78536-3,El ataque de las calabazas,"Stine, R. L",Norma,1926,Primera,Español,0,,,1
978-2-449-11965-9,El atorrante,"Suárez Danero, E.M.",Centro Editor de América Latina,1970,Primera,Español,0,,Historia Argentina,1
978-5-192-72032-5,El atroz encanto de ser argentino,"Aguinis, Marcos",Planeta,2002,Primera,Español,0,,Historia Argentina - Ensayo,1
978-0-792-42741-4,El avión de papel,"Mariño, Ricardo",Atlantida,1926,Primera,Español,0,,,1
978-1-370-19512-1,El avión presidencial ha desaparecido : novela,"Serling, Robert J.",Emecé,1926,Primera,Español,0,,,1
978-8-582-47775-5,El baile,"Némirovsky, Iréne",Mandioca,2012,Primera,Español,0,,,1
978-7-355-74136-9,El banquete de Severo Arcángelo,"Marechal, Leopoldo",Sudamericana,1926,Primera,Español,0,,,1
978-0-502-30173-7,El banquete o del amor; Fedón o del alma,Platón,Planeta,1926,Primera,Español,0,,,1
978-2-727-01318-1,El barbero de Sevilla,Beaumarchais,Hyspamerica,1926,Primera,Español,0,,,1
978-7-031-83614-3,El barón rampante : novela,"Calvino, Italo",Compañía General Febril,1926,Primera,Español,0,,,1
978-6-346-77676-2,El Barroco,-,Genios,1926,Primera,Español,0,,,1
978-3-855-69149-4,El barroco español,-,Colihue,1926,Primera,Español,0,,,1
978-1-630-54545-1,El barroco hispanoamericano,Antología,Colihue,1926,Primera,Español,0,,,1
978-4-940-91024-7,El Batman que rie,"Snyder, Scott",OVNI Press,1926,Primera,Español,0,,,1
978-5-114-38875-6,El beso,"Steel, Danielle",Sudamericana,1926,Primera,Español,0,,,1
978-7-416-71513-1,El beso de judas,"Holt, Victoria",Mondadori,1926,Primera,Español,0,,,1
978-1-489-13653-4,El beso de la mujer araña,"Puig, Manuel",RBA,1926,Primera,Español,0,,,1
978-4-130-40311-5,El billete de un millón,"Twain, Mark",Plaza & Janés,1926,Primera,Español,0,,,1
978-3-849-58610-2,El billete de un millón de libras esterlinas,"Twain, Mark",Página 12,1926,Primera,Español,0,,,1
978-4-770-74985-7,El bombero,"Suárez, Patricia",Sigmar,1926,Primera,Español,0,,,1
978-3-793-30047-2,El bosque de los espíritus,"Rice, Allan P.",Genios,1926,Primera,Español,0,,,1
978-3-194-21476-7,El botín pirata,"Lienas, Gemma",Destino,2012,Primera,Español,0,,Lit. Infantil (Azul),1
978-1-788-26934-6,El bramido horripilante,"Iturralde Rúa, Víctor",Libros del quirquincho,1926,Primera,Español,0,,,1
978-1-480-08345-5,El brujo de los tubitos,"Devetach, Laura",Sudamericana,1926,Primera,Español,0,,,1
978-9-854-51935-7,El buen hijo,"Strasser, Todd",Ediciones B,1926,Primera,Español,0,,,1
978-0-635-11294-1,"El buey y el mosquito: El viajero y su perro, El buey y la becerra, El cazador miedoso y el leñador",Esopo,Vlacvoks,2016,Primera,Español,0,,Lit. Infantil (Blanco),1
978-8-964-02585-7,El buque,"Bernardez, Francisco Luis",Losada,1926,Primera,Español,0,,,1
978-1-322-25966-6,El Burdel,"Troncoso, Oscar",Centro editor de América Latina,1982,Primera,Español,0,,,1
978-3-792-83237-0,El burlador de Sevilla y convidado de piedra,"Molina, Tirso de ",Colihue,1926,Primera,Español,0,,,1
978-2-014-48812-8,El burlador de Sevilla y convidado de piedra : drama,"Molina, Tirso de ",Sopena,1926,Primera,Español,0,,,1
978-5-528-34544-4,El burlador de Sevilla y El vergonzoso en palacio,"Molina, Tirso de",Molino,1926,Primera,Español,0,,,1
978-3-530-88443-2,El burlador de Sevilla; el condenado por desconfiado,"Molina, Tirso de",Lasserre,1926,Primera,Español,0,,,1
978-6-413-62130-8,El buzo loco : y otras aventuras,"Cané, Cora",Plus Ultra,1926,Primera,Español,0,,,1
978-5-926-70064-7,El caballero de la armadura oxidada,"Fisher, Robert",Obelisco,1926,Primera,Español,0,,,1
978-6-933-57396-5,El caballero de Olmedo,Lope de Vega,Ebro,1926,Primera,Español,0,,,1
978-4-387-78421-0,"El caballero de Olmedo : seguido de una antología lírica y dramática (Fuenteovejuna, La Dama Boba)",1944,La espiga; Ciordia,1926,Primera,Español,0,,,1
978-4-489-10648-4,El caballero Pepino,"Gil, Carmen",de la Magnolia,2013,Primera,Español,0,,,1
978-2-271-48356-0,El caballo celoso,"Villafañe, Javier",Colihue,1926,Primera,Español,0,,,1
978-2-728-05777-1,El caballo de Troya,"Montes, Graciela",Centro editor de America Latina,1926,Primera,Español,0,,,1
978-2-713-60253-5,El caballo que no sabía relinchar,"Gambaro, Griselda",Alfaguara,1926,Primera,Español,0,,,1
978-5-017-50251-8,El caballo que tenia el color del zapallo,"Basch, Adela",Artemisa,1926,Primera,Español,0,,,1
978-3-237-01085-1,El camino de las llamas,"Wast, Hugo",Thau,1926,Primera,Español,0,,,1
978-5-761-79074-2,"El camino de los juicios. La lucha por la Memoria, Verdad y Justicia en la Argentina",Ministerio de Educación,Ministerio de Educación de la Nación,1926,Primera,Español,0,,,1
978-6-328-77752-7,El camino del encuentro,"Bucay, Jorge",del Nuevo Extremo,1926,Primera,Español,0,,,1
978-0-686-92756-3,El candelabro de plata y otros cuentos,"Castillo, Abelardo",Alfaguara,1926,Primera,Español,0,,,1
978-9-522-91806-2,El candor del Padre Brown,"Chesterton, Gilbert K.",Hyspamerica,1926,Primera,Español,0,,,1
978-5-063-46952-0,El capitán Kidd : último descendiente del antiguo corsario de la leyenda,"Steff, Georges & Saint Clair, Simone",Desclee Brouwer,1926,Primera,Español,0,,,1
978-8-188-24256-6,El capitán veneno y el escándalo : novelas,"Alarcón, Pedro A. de",Sopena,1926,Primera,Español,0,,,1
978-6-341-51793-3,El capote,"Gógol, Nikolai V.",Página 12,1926,Primera,Español,0,,,1
978-6-295-92947-9,El capricho de los Dioses,"Sheldon, Sidney",Emecé,1926,Primera,Español,0,,,1
978-9-211-73299-3,El caracol y el rosal. La princesa y el frijol. La niña de los fósforos. El cofre volador,"Andersen, Hans Christian",Página 12,1926,Primera,Español,0,,,1
978-9-977-32540-8,El casamiento de Laucha,"Payró, Roberto J.",Colihue,1926,Primera,Español,0,,,1
978-6-069-67569-4,El casamiento del número tres,"Maritano, Alma",Colihue,1926,Primera,Español,0,,,1
978-9-020-53882-3,El casamiento engañoso y coloquio de los perros,"Cervantes Saavedra, Miguel de",Kapelusz,1926,Primera,Español,0,,,1
978-3-410-23975-8,El caso de la cruz azul,"Chesterton, Gilbert",Coquena,1926,Primera,Español,0,,,1
978-0-473-45194-3,El caso de los anónimos,"Christie, Agatha",Planeta,1926,Primera,Español,0,,,1
978-2-132-44444-0,El caso del cantante de rock,"Schlaen, Carlos",Libros del quirquincho,1926,Primera,Español,0,,,1
978-0-190-50979-8,El caso del colegio de la abadía,"Doyle, Arthur Conan",La estación,2022,Primera,Español,0,,,1
978-4-984-82657-3,El caso del mago y la clave secreta,"Schlaen, Carlos",Alfaguara,2007,Primera,Español,0,,Lit. Juvenil,1
978-3-494-22023-9,El caso del videojuego,"Schlaen, Carlos",Libros del quirquincho,1926,Primera,Español,0,,,1
978-2-095-53538-4,El catzo de oro,"Iturralde E., Juan Andrés & Onore, Giovanni",Pontificia Universidad Católica del Ecuador,1926,Primera,Español,0,,,1
978-7-961-07813-2,El cazador de incendios,"Rivera, Iris",Edelvives,1926,Primera,Español,0,,,1
978-5-793-77006-4,El celoso extremeño,"Cervantes Saavedra, Miguel de",Kapelusz,1926,Primera,Español,0,,,1
978-9-577-37038-9,El Cerdo,"Royston, Angela",Fher,1926,Primera,Español,0,,,1
978-4-341-77825-5,El cerebro,-,Planeta,1926,Primera,Español,0,,,1
978-6-320-19595-4,El chancho limpio,"Clemente, Horacio",Sudamericana,2001,Primera,Español,0,,,1
978-1-226-57720-0,El chico del río,"Bowler, Tim",Cantaro,2005,Primera,Español,0,,,1
978-5-047-10371-6,El Cid Campeador,"Leon, Maria Teresa",Compañia General Fabril ,1926,Primera,Español,0,,,1
978-9-182-05363-9,El Cid Campeador : (espejo de caballeros hispanos),"Huertas Ventosa, José M.",Molino,1926,Primera,Español,0,,,1
978-1-136-59610-0,El cielo,"Espósito, María",La valijita,1926,Primera,Español,0,,,1
978-8-171-42832-8,El cielo de los Calder,"Dailey, Janet",Javier Vergara,1926,Primera,Español,0,,,1
978-8-726-48563-9,El cielo se nos cae encima!,"Goscinny, R. Uderzo, A.",Salvat,1926,Primera,Español,0,,,1
978-2-511-25678-7,El circo criollo,"Troncoso, Oscar",Centro editor de América Latina,1981,Primera,Español,0,,,1
978-8-709-34811-1,El círculo de los distraídos y otros misterios clásicos,Antología,Cantaro,1926,Primera,Español,0,,,1
978-7-156-46435-1,El cisma 1852-1862,"Rosa, José María",Oriente,1979,Primera,Español,0,,Historia Argentina,1
978-5-236-58229-2,El cisne rojo : leyenda de los algonquinos de América del Norte ; Rip Van Winkle : leyenda de los Estados Unidos,"Ferro, Beatriz",Página 12,1926,Primera,Español,0,,,1
978-3-808-22716-9,El cisne salvaje. Inglaterra,"Blasis, Celeste de",Sudamericana,1926,Primera,Español,0,,,1
978-4-357-80933-2,El clima,"Chancellor, Deborah",Sigmar,1926,Primera,Español,0,,,1
978-8-389-24078-1,El club de los negocios raros,"Chesterton, G. K.",Zig-Zag,1926,Primera,Español,0,,,1
978-5-135-56934-9,El coche Fántastico,,Saldaña,1926,Primera,Español,0,,,1
978-4-231-98362-2,El colectivo,"Almeida, Eugenia",Edhasa,2009,Primera,Español,0,,,1
978-3-709-02935-0,El color que cayó del cielo,"Lovecraft, H. P.",Libros del zorro rojo,1926,Primera,Español,0,,,1
978-2-929-25606-5,El comedor de diario,"Bosco, Maria Angelica",Hyspamerica,1926,Primera,Español,0,,,1
978-8-359-21977-9,El comedor de las Tinieblas,"Dedé, María Laura",Estrada,2018,Primera,Español,0,,Lit. Juvenil,1
978-0-913-10068-4,El Comendador Mendoza,"Valera, Juan",Molino,1926,Primera,Español,0,,,1
978-0-717-81977-5,El complot de las flores,"Ferrari, Andrea",SM,1926,Primera,Español,0,,,1
978-4-637-30545-5,El comportamiento de los animales,-,Time Life Learning,1926,Primera,Español,0,,,1
978-8-579-45266-6,El conde Belisario,"Graves, Robert",Altaya,1926,Primera,Español,0,,,1
978-7-842-11735-6,El Conde de Montecristo,"Dumas, Alejandro",Atlantida,1982,Primera,Español,0,,,1
978-6-499-55900-7,El conde de Montecristo,"Dumas, Alejandro",Edimat,1926,Primera,Español,0,,,1
978-1-570-52825-5,El Conde Lucanor,Don Juan Manuel,Razón y fe,1926,Primera,Español,0,,,1
978-6-507-57041-3,El Conde Lucanor : selección de cuentos y sentencias,Juan Manuel,Colihue,1926,Primera,Español,0,,,1
978-0-793-66143-5,El Conde Lucanor o libro de patronio,Infante Don Juan Manuel,Sopena,1926,Primera,Español,0,,,1
978-3-691-31077-1,El condenado por desconfiado,"Molina, Tirso de",Marcos Sastre,1926,Primera,Español,0,,,1
978-6-483-80859-3,El conejito tímido,"Ellsworth, Nick",Parragon Books Ltd.,2006,Primera,Español,0,,Lit. Infantil (rojo),1
978-3-163-46376-9,El conejo de felpa : o cómo los juguetes llegan a vivir,"Williams, Margery",Sudamericana,1926,Primera,Español,0,,,1
978-9-525-98439-2,El conflicto final,"McGill, Gordon",Javier Vergara,1926,Primera,Español,0,,,1
978-4-735-15484-9,El conquistador,"Andahazi, Federico",Planeta,1926,Primera,Español,0,,,1
978-0-898-60834-2,El contador de cuentos,Saki,Ekaré,1926,Primera,Español,0,,,1
978-7-437-43597-1,El contrabandista de huesos,"Vaccarini, Franco",Edebé,1926,Primera,Español,0,,,1
978-9-740-46587-4,El contratiempo de Monra,"Niro, Mateo",Amauta,1926,Primera,Español,0,,,1
978-7-321-81852-1,El conventillo,"Páez, Jorge",Centro Editor de América Latina,1970,Primera,Español,0,,Historia Argentina,1
978-1-451-76691-2,El corazón,-,Planeta,1926,Primera,Español,0,,,1
978-0-949-77615-0,El corazón de las selvas y los bosques,-,Billiken,1926,Primera,Español,0,,,1
978-5-098-04533-1,El corazón de las tinieblas,"Conrad, Joseph",Longseller,1926,Primera,Español,0,,,1
978-9-153-77138-8,El corazón de piedra verde (3),"Madariaga, Salvador de",Altaya,1926,Primera,Español,0,,,1
978-5-736-66368-2,El corazón delator y otros cuentos,"Poe, Edgar Allan",Longseller,1926,Primera,Español,0,,,1
978-3-051-30438-9,El coronel no tiene quien le escriba,"García Márquez, Gabriel",Alianza,1926,Primera,Español,0,,,1
978-2-992-24852-3,El corsario,Lord Byron,Espasa-Calpe,1926,Primera,Español,0,,,1
978-5-224-72074-3,El corsario del tiempo,"Stine, R. L",Everest,1926,Primera,Español,0,,,1
978-7-899-68382-8,El corsario negro,"Salgari, Emilio",Anteojito,1926,Primera,Español,0,,,1
978-3-108-88164-1,El corsario rojo,"Fenimore Cooper, James",Genios,1926,Primera,Español,0,,,1
978-6-762-24952-9,El crimen de Clorinda Sarracán. La otra Camila O`Gorman,"Abós, Álvaro",Sudamericana,1926,Primera,Español,0,,,1
978-6-039-65958-7,El crimen de la Guerra,"Alberdi, J.B.",Jackson,1926,Primera,Español,0,,,1
978-7-469-50794-3,El crímen de un académico,"France, Anatole",Orbis,1926,Primera,Español,0,,,1
978-4-467-21709-6,El crimen del señor Ambrosio,"Siemens, Sandra",Colihue,1926,Primera,Español,0,,,1
978-5-804-56860-4,El cristo de Velazquez (Poema),"de Unamuno, Miguel",Espasa-Calpe,1926,Primera,Español,0,,,1
978-1-161-73237-5,El criticón,"Gracián, Baltazar",Hyspamerica,1926,Primera,Español,0,,,1
978-5-750-48878-0,El cruce: historia de una epopeya,"Vaccarini, Franco",SM,1926,Primera,Español,0,,,1
978-7-340-75551-7,El cuarto prohibido,"Ezquieta, Itziar",OQO,2013,Primera,Español,0,,,1
978-6-707-86596-8,El cuento argentino 1930-1959*,Antología,Centro editor de America Latina,1926,Primera,Español,0,,,1
978-4-875-60858-5,El cuento argentino 1930-1959/2,"Booz,M.; Rojas Paz, P. y otros",Centro editor de America Latina,1926,Primera,Español,0,,,1
978-7-294-56138-7,El cuento argentino 1959-1970**,Antología,Centro editor de America Latina,1926,Primera,Español,0,,,1
978-4-085-63120-5,El cuento de invierno,"Shakespeare, William",Espasa-Calpe,1926,Primera,Español,0,,,1
978-9-814-08744-5,El cuento de nunca acabar,"Montes, Graciela",Gramón,1926,Primera,Español,0,,,1
978-6-807-36392-0,El cuentomóvil. La máquina de animar cuentos,"Mc.Loughlin, Juan Pedro",Hola chicos,1926,Primera,Español,0,,,1
978-0-270-57276-6,El cuerpo humano,-,Genios,1926,Primera,Español,0,,,1
978-0-512-22309-8,El decamerón,"Boccaccio, Giovanni",Losada,1926,Primera,Español,0,,,1
978-6-534-43630-0,El Decaneron,"Boccaccio, Giovanni",Centro editor de América Latina,1926,Primera,Español,0,,,1
978-2-659-28098-9,El deleitoso. Pasos,"Rueda, Lope de",Huemul,1926,Primera,Español,0,,,1
978-1-611-07490-1,El demonio vestido de azul,"Mosley, Walter",Anagrama,1926,Primera,Español,0,,,1
978-2-952-75671-6,El deporte,-,Larousse,1926,Primera,Español,0,,,1
978-3-948-07812-6,El desafío del caracol,"Blasco, Martin",Norma,2008,Primera,Español,0,,,1
978-3-837-98243-5,El Desertor,"Eckhardt, Marcelo",Quipu,2013,Primera,Español,0,,,1
978-5-298-60789-6,El desierto,"Quiroga, Horacio",Pingüino,1926,Primera,Español,0,,,1
978-3-563-63811-8,El día del juicio,"Higgns, Jack",Pomaire,1926,Primera,Español,0,,,1
978-0-594-21922-4,El día en que se hundió la bolsa,"Gordon, Thomas; Morgan-Witts, Max",Orbis/ Hypamerica,1983,Primera,Español,0,,Economía,1
978-6-799-59600-9,El día más largo del futuro,"Varela, Lucas",Hotel de las ideas,1926,Primera,Español,0,,,1
978-6-037-82904-3,El diablo cojuelo y El lazarillo de Thornes,"Velez de Guevara, Luis",Molino,1926,Primera,Español,0,,,1
978-8-416-49075-2,El diablo de la botella,"Stevenson, Robert Louis",Norma,1926,Primera,Español,0,,,1
978-3-375-97714-6,El diablo en la cabeza,"Levy, Bernard - Henri",Planeta-Agostini,1994,Primera,Español,0,,Filosofía,1
978-2-933-92967-2,El diablo inglés,"Walsh, María Elena",Hyspamerica,1926,Primera,Español,0,,,1
978-4-965-42924-3,El diablo mete la cola y otros cuentos del Infierno,"Butti, Enrique M.",Homosapiens,2013,Primera,Español,0,,,1
978-7-806-49971-9,El diablo mete la cola y otros cuentos del infirno,"Butti, Enrique M.",HomoSapiens,1926,Primera,Español,0,,,1
978-9-648-91730-7,El diario de Adán y Eva,"Twain, Mark",Longseller,1926,Primera,Español,0,,,1
978-6-040-81547-7,El diario de Ana Frank,"Frank, Ana",Marymar,1926,Primera,Español,0,,,1
