ISBN,Titulo,Autor,Editorial,FechaPublicacion,Edicion,Idioma,Paginas,Descripcion,Categorias,Ejemplares
978-0-543-62586-1,Gargantúa y Pantagruel,"Rabelais, Francois",El Ateneo,1926,Primera,Español,0,,,1
978-9-238-36453-5,Gato y pez,"Grant, Joan",Libros del zorro rojo,1926,Primera,Español,0,,,1
978-1-762-99014-3,Gaturro 1,Nik,Ediciones de La Flor,2015,Primera,Español,0,,Historieta,1
978-4-973-23303-0,Gaturro 19,Nik,Ediciones de la Flor,2012,Primera,Español,0,,Historietas,1
978-9-654-19308-5,Gaturro 28,Nik,Siete vidas,1926,Primera,Español,0,,,1
978-7-296-29360-6,Gaturro y el misterio de las cinco Ágathas,Nik,Primera Sudamericana,2011,Primera,Español,0,,Lit. Infantil (naranja),1
978-9-568-04811-2,Gaturro y la maldición de Tutangatón,Nik,Sudamericana,1926,Primera,Español,0,,,1
978-0-660-11424-8,Gaturro y la mansión del terror,Nik,Sudamericana,2008,Primera,Español,0,,,1
978-5-934-87948-9,Genio y figura de Adolfo Bioy Casares,"Villordo, Oscar Hermes",EudeBa,1926,Primera,Español,0,,,1
978-1-601-89676-6,Genio y figura de Jorge Isaacs,"Arciniegas, Germán",EudeBa,1926,Primera,Español,0,,,1
978-4-188-23246-0,Genio y figura de Jorge W. Abalos,"Huerga, Feliciano",EudeBa,1926,Primera,Español,0,,,1
978-0-854-61516-2,Genio y figura de José Hernández,"Aragón, Roque Raúl; Calvetti, Jorge",EudeBa,1926,Primera,Español,0,,,1
978-1-647-84021-1,Genio y figura de Lucio V. Mansilla,"Lanuza, José Luis",EudeBa,1926,Primera,Español,0,,,1
978-6-389-54527-1,Genio y figura...,"Valera, Juan",Molino,1926,Primera,Español,0,,,1
978-9-844-38135-3,Gentuza,"Filloy, Juan",El ceunco de Plata,1926,Primera,Español,0,,,1
978-7-768-66221-3,Geografía,-,Time Life Learning,1926,Primera,Español,0,,,1
978-0-081-59657-9,Geografía 5es : sociedad y economía en la argentina actual,-,Estrada,1926,Primera,Español,0,,,1
978-7-280-66922-6,Gigantes : del mundo animal,-,Billiken,1926,Primera,Español,0,,,1
978-9-506-14846-1,Gotas de sal y de sol,"Olivera, Bernardo",Revista Sophia,1926,Primera,Español,0,,,1
978-9-272-28485-1,Goya,"Romano, Eileen",El mundo,1926,Primera,Español,0,,,1
978-4-111-31520-8,Gracias por volar conmigo,"Peña, Fernando",Debolsillo,1926,Primera,Español,0,,,1
978-6-285-47730-0,Graffiti Ninja,"Aguirre, Osvaldo & González, Eduardo",Norma,2007,Primera,Español,0,,,1
978-1-763-81910-8,Graham Greene,"Pange, Victor de ",La Mandrágora,1926,Primera,Español,0,,,1
978-3-958-70304-9,Gramática viva 1 : un viaje al país de la gramática,-,Stadium,1926,Primera,Español,0,,,1
978-4-447-79449-4,Grandes batallas,-,Billiken,1926,Primera,Español,0,,,1
978-6-885-31009-0,Grandes exploradores,-,Genios,1926,Primera,Español,0,,,1
978-7-275-39762-2,Grandes inventos,-,Billiken,1926,Primera,Español,0,,,1
978-4-700-52184-3,Grandes investigadores,-,Planeta,1926,Primera,Español,0,,,1
978-2-361-79262-6,Grandes obras : de la humanidad,-,Billiken,1926,Primera,Español,0,,,1
978-5-825-00989-6,Grandes Poemas y poemas Menores,"Andrade, Olegario V.",Jackson,1926,Primera,Español,0,,,1
978-7-470-06305-6,Great expectations,"Dickens, Charles",Wordsworth,1926,Primera,Español,0,,,1
978-1-064-31539-2,Grecia. Historia y Sociedad. 5,"Colazo, Pablo",Clarín,2008,Primera,Español,0,,Historia,1
978-4-912-77971-1,Green Lantern,"Johns, Geoff",Planeta DeAgotini,1926,Primera,Español,0,,,1
978-5-205-96246-9,Green Lantern Corps. Los pecados del Zafiro Estelar,"Tomasi, Peter",Planeta DeAgotini,1926,Primera,Español,0,,,1
978-9-928-06413-4,Greguerías 1940 - 43,"Gómez de la Serna, Ramón",Espasa-Calpe,1926,Primera,Español,0,,,1
978-1-602-78434-5,Guaraní,"Agrimbau, Diego",Hotel de las ideas,1926,Primera,Español,0,,,1
978-3-302-58490-4,"Guau, guau, me llamo Pirata","Onore, Giovanni; Oña, Pierina & Romero, Tatiana",Otonga,1926,Primera,Español,0,,,1
978-4-983-71759-9,Güemes,"Pigna, Felipe",Planeta,1926,Primera,Español,0,,,1
978-5-886-12304-3,Guerra aérea en las Malvinas,"Andrada, Benigno Héctor",Emecé,1926,Primera,Español,0,,,1
978-3-080-07812-1,Guerra mundial en miniatura. Libro III,"Hugh, Thomas",Hyspamérica. Urbión,1980,Primera,Español,0,,Lit. Española ,1
978-0-134-95773-9,Guía de pecadores,"Granada, Luis de",Molino,1926,Primera,Español,0,,,1
978-2-052-15087-2,Guía para la vida,"Simpson, Bart",Ediciones B,1997,Primera,Español,0,,Lit. Infantil (amarillo),1
978-1-869-31609-9,Guía visual del mundo vegetal,-,Cultura Librera Americana,1926,Primera,Español,0,,,1
978-4-128-18200-8,Guillermo Brown,"Luna, Félix",Planeta,1926,Primera,Español,0,,,1
978-3-695-65367-6,"Guitarras, guitarritas y guitarrones",-,Abran cancha,1926,Primera,Español,0,,,1
978-7-869-23360-2,Gulliver en el país de los enanos,-,Sigmar,1926,Primera,Español,0,,,1
978-5-484-88831-3,Guzmán de Alfarache,"Aleman, Mateo",Molino,1926,Primera,Español,0,,,1
978-3-052-28374-4,Gyo Vol.1,Junjito Ito,Ivrea,1926,Primera,Español,0,,,1
978-8-205-52550-4,Había una vez una casa,"[Montes, Graciela & Rojas, Saúl Oscar]",[Alfaguara],1926,Primera,Español,0,,,1
978-6-616-13076-8,Había una vez una lapicera,"[Basch, Adela & Rojas, Oscar]",Libros del quirquincho,1926,Primera,Español,0,,,1
978-0-338-09991-4,"Había una vez, dos, tres","Dedé, María Laura",Salim,2012,Primera,Español,0,,,1
978-4-207-46900-6,"Habla, memoria. Una autobiografía revisitada","Nabokov, Vladimir",Anagrama,1926,Primera,Español,0,,,1
978-6-356-99271-8,"Hablemos de Jesús : un libro ilustrado de historias bíblicas para mirar, leer y narrar",-,Claretiana,1926,Primera,Español,0,,,1
978-6-410-81093-4,Hacia una economía mundial,"Tinbergen, Jan",Orbis/ Hypamerica,1983,Primera,Español,0,,,1
978-8-053-09246-3,Haciendo memoria en el país de Nunca Más,"Dussel, I. Finocchio, S. Gojman, S.",EudeBa,1926,Primera,Español,0,,,1
978-4-449-29398-8,Hadas y Dragones. El arte es magia,Ciruelo,Doedytores,1926,Primera,Español,0,,,1
978-6-964-04055-9,Hallazgos Científicos,"Ameghino, Florentino",Jackson,1926,Primera,Español,0,,,1
978-2-257-47690-6,Hamlet. Julio César,"Shakespeare, William",Fray Mocho,1994,Primera,Español,0,,Lit. Inglesa,1
978-8-471-56955-4,Hamlet. Macbeth,"Shakespeare, William",Planeta,1926,Primera,Español,0,,,1
978-4-128-57518-3,Hamlet; Macbeth,"Shakespeare, William",Planeta,1926,Primera,Español,0,,,1
978-9-062-28047-6,Hansel y Gretel,Hermanos Grimm,Eudeba,1926,Primera,Español,0,,,1
978-5-360-41223-6,Harry Potter y el cáliz de fuego. 4,"Rowling, J. K.",Salamandra,1926,Primera,Español,0,,,1
978-1-846-46120-0,Harry Potter y el misterio del príncipe. 6,"Rowling, J. K.",Salamandra,1926,Primera,Español,0,,,1
978-5-997-36417-5,Harry Potter y la Cámara Secreta,"Rowling, J.K.",Emecé,1926,Primera,Español,0,,,1
978-4-964-23474-9,Harry Potter y la orden del Fénix. 5,"Rowling, J. K.",Salamandra,1926,Primera,Español,0,,,1
978-2-099-91319-5,Harry Potter y la piedra filosofal,"Rowling, J. K.",Salamandra,2022,Primera,Español,0,,Lit. Inglesa,1
978-6-892-69266-0,Hasta (casi) 100 bichos,"Nesquens, Daniel",Anaya,1926,Primera,Español,0,,,1
978-2-868-31273-0,Hay un monstruo debajo de mi cama,"Cinetto, Liliana",del Naranjo,1926,Primera,Español,0,,,1
978-6-830-09898-1,Heidi,"Spyri, J.",Kapelusz,1926,Primera,Español,0,,,1
978-8-550-15613-2,Henry Fielding : y la tradición picaresca,"Pastalosky, Rosa",Solar,1926,Primera,Español,0,,,1
978-4-359-55010-2,Herbario,"Barman, Adrienne",Libros del Zorro Rojo,2018,Primera,Español,0,,Material de Referencia,1
978-4-910-94994-9,"Hércules, el forzudo","Montes, Graciela",Página 12,1926,Primera,Español,0,,,1
978-1-685-67277-5,Hernani,"Hugo, Victor",Centro editor de América Latina,1926,Primera,Español,0,,,1
978-6-241-08798-7,Hernani ; El rey se divierte,"Hugo, Víctor",Espasa-Calpe,1926,Primera,Español,0,,,1
978-5-413-11707-1,Héroes de tinta,"Schujer, Silvia (comp.)",Puerto de palos,1926,Primera,Español,0,,,1
978-0-835-34274-2,Hijos de Lázaro,"Mawson, Robert",Plaza & Janés,1926,Primera,Español,0,,,1
978-3-136-04938-9,Himnos a la noche. Erique de Ofterdingen,Novalis,Hyspamerica,1926,Primera,Español,0,,,1
978-0-043-99041-4,Himnos del brevario Romano,"Bernárdez, Francisco Luis",Losada,1926,Primera,Español,0,,,1
978-4-831-82360-1,Himnos del breviario romano,"Bernárdez, Francisco Luis",Losada,1926,Primera,Español,0,,,1
978-5-233-56558-8,Hipólito Yrigoyen,"Luna, Félix",Planeta,2004,Primera,Español,0,,Biografías,1
978-6-099-49833-1,Historia Argentina y Americana. Tomo 1,"Levene, Ricardo",Omeba,1982,Primera,Español,0,,Historia Argentina,1
978-6-191-21090-9,Historia Argentina. Tomo 1,"Abad de Santillán, Diego",Tipográfia Editora Argentina,1965,Primera,Español,0,,Historia Argentina,1
978-2-894-06346-0,Historia Argentina. Tomo 2,"Abad de Santillán, Diego",Tipográfia Editora Argentina,1965,Primera,Español,0,,Historia Argentina,1
978-3-813-71947-5,Historia Argentina. Tomo 3,"Abad de Santillán, Diego",Tipográfia Editora Argentina,1965,Primera,Español,0,,Historia Argentina,1
978-0-564-34127-6,Historia Argentina. Tomo 4,"Abad de Santillán, Diego",Tipográfia Editora Argentina,1965,Primera,Español,0,,Historia Argentina,1
978-9-531-29184-2,Historia Argentina. Tomo 5,"Abad de Santillán, Diego",Tipográfia Editora Argentina,1965,Primera,Español,0,,Historia Argentina,1
978-0-217-47160-2,Historia Argentina: Hechos y protagonistas,-,Planeta,2001,Primera,Español,0,,Historia Argentina,1
978-4-172-49510-9,Historia completa de las Malvinas. Tomo II,"Muñoz Azpiri, José Luis",Oriente,1926,Primera,Español,0,,,1
978-4-503-15981-6,Historia completa de las Malvinas. Tomo III,"Muñoz Azpiri, José Luis",Oriente,1926,Primera,Español,0,,,1
978-2-222-02595-5,Historia de Alí Babá y los cuarenta ladrones,"Montes, Graciela",Gramón,1926,Primera,Español,0,,,1
978-4-565-23949-5,Historia de amor exagerado,"Montes, Graciela",Colihue,1926,Primera,Español,0,,,1
978-1-252-31845-7,Historia de Cronopios y de Famas,"Cortázar, Julio",Sudamericana,1926,Primera,Español,0,,,1
978-5-923-47280-6,Historia de Flechazo y la nube,"Mariño, Ricardo",Alfaguara,2013,Primera,Español,0,,Lit. Infantil (Rosa c),1
978-2-726-93818-8,Historia de Indias,Vera & Oski,Colihue,1926,Primera,Español,0,,,1
978-6-751-79760-4,Historia de la Argentina 1955-2020,"Novaro, Marcos",Siglo XXI,2021,Primera,Español,0,,Historia Argentina,1
978-7-193-21453-7,Historia de la Argentina Fin del régimen virreinal e instalación de la junta de mayo de 1810: 1800-1810,"Sierra, Vicente D.",Unión de Editores Latinos,1960,Primera,Español,0,,Historia Argentina,1
978-5-408-24905-3,Historia de la Argentina I Introducción conquista y población: 1492-1600,"Sierra, Vicente D.",Editorial Científica Argentina,1964,Primera,Español,0,,Historia Argentina,1
978-5-471-07881-9,Historia de la Argentina IX Gobiernos de Rosa; su caida hacia un nuevo régimen: 1840-1852,"Sierra, Vicente D.",Editorial Científica Argentina,1972,Primera,Español,0,,Historia Argentina,1
978-3-986-50918-7,Historia de la Argentina Los primero gobiernos patrios: 1810-1813,"Sierra, Vicente D.",Ediciones Garriga Argentinas,1962,Primera,Español,0,,Historia Argentina,1
978-3-317-15574-8,Historia de la Argentina VI Independencia y anarquía: 1813 - 1819,"Sierra, Vicente D.",Editorial Científica Argentina,1965,Primera,Español,0,,Historia Argentina,1
978-9-074-74207-8,Historia de la Argentina VII De la anarquia y la epoca de Rivadavia a la Revolución de 1828: 1819-1829,"Sierra, Vicente D.",Editorial Científica Argentina,1972,Primera,Español,0,,Historia Argentina,1
978-2-029-78219-8,Historia de la Argentina VIII Época de Rosas. Primera parte: 1829-1841,"Sierra, Vicente D.",Editorial Científica Argentina,1972,Primera,Español,0,,Historia Argentina,1
